cp_white,cp_black,player,diff_level
0.430000,-0.430000,0,0
-0.400000,0.400000,1,0
0.280000,-0.280000,0,0
-0.290000,0.290000,1,0
0.060000,-0.060000,0,0
0.420000,-0.420000,1,0
-0.360000,0.360000,0,0
2.080000,-2.080000,1,0
-1.160000,1.160000,0,0
1.960000,-1.960000,1,0
-2.620000,2.620000,0,0
2.450000,-2.450000,1,0
-2.680000,2.680000,0,0
2.400000,-2.400000,1,0
-2.200000,2.200000,0,0
2.900000,-2.900000,1,0
1.340000,-1.340000,0,0
3.960000,-3.960000,1,0
-4.860000,4.860000,0,0
4.440000,-4.440000,1,0
-4.000000,4.000000,0,0
6.310000,-6.310000,1,0
-2.150000,2.150000,0,0
10.080000,-10.080000,1,0
-4.170000,4.170000,0,0
4.590000,-4.590000,1,0
-3.790000,3.790000,0,0
3.930000,-3.930000,1,0
-2.830000,2.830000,0,0
1.660000,-1.660000,1,0
-2.060000,2.060000,0,0
1.650000,-1.650000,1,0
-1.670000,1.670000,0,0
1.500000,-1.500000,1,0
6.230000,-6.230000,0,0
1.970000,-1.970000,1,0
-0.390000,0.390000,0,0
0.900000,-0.900000,1,0
-0.010000,0.010000,0,0
0.560000,-0.560000,1,0
-0.380000,0.380000,0,0
-0.070000,0.070000,1,0
0.090000,-0.090000,0,0
0.020000,-0.020000,1,0
-0.380000,0.380000,0,0
0.070000,-0.070000,1,0
-0.150000,0.150000,0,0
1.100000,-1.100000,1,0
-0.370000,0.370000,0,0
-0.240000,0.240000,1,0
-0.240000,0.240000,0,0
